Gesture,KeyInput
Fist,A key
Index-Finger,B key
Middle-Finger,C key
Two-Finger,D key
Ring-Finger,E key
Ring-Index-Finger,F key
Ring-Middle-Finger,G key
Three-Finger-Point,H key
Little-Finger-Point,I key
Index-Little-Finger-Point,J key
Little-Middle-Finger-Point,K key
Not-Ring-Finger-Point,L key
Little-Ring-Finger-Point,M key
Not-Middle-Finger-Point,N key
Not-Index-Finger-Point,O key
Flat-Hand,P key
